repo_link
MinecraftForge/MinecraftForge
fogleman/Minecraft
itzg/docker-minecraft-server
overviewer/Minecraft-Overviewer
TheGreyGhost/MinecraftByExample
minecraft-dev/MinecraftDev
jdah/minecraft-weekend
mouse0w0/MinecraftDeveloperGuide
Bukkit/Bukkit
TheRemote/MinecraftBedrockServer
CFPAOrg/Minecraft-Mod-Language-Package
UnityTechnologies/MinecraftECS
docker/dockercraft
MCCTeam/Minecraft-Console-Client
Hopson97/MineCraft-One-Week-Challenge
EngineHub/WorldEdit
simondevyoutube/MinecraftClone
MeteorDevelopment/meteor-client
mekanism/Mekanism
ddevault/TrueCraft
PrismarineJS/node-minecraft-protocol
SpongePowered/SpongeAPI
PrismarineJS/minecraft-data
xPaw/PHP-Minecraft-Query
samhogan/Minecraft-Unity3D
GeyserMC/Geyser
Hawstein/PyMinecraft
jkutner/heroku-buildpack-minecraft
walterhiggins/ScriptCraft
doctorray117/minecraft-ondemand
Ahtenus/minecraft-init
Pierce01/MinecraftLauncher-core
itzg/docker-minecraft-bedrock-server
itsFrank/MinecraftHDL
docker-archive/minecraft
ldtteam/minecolonies
YouHaveTrouble/minecraft-optimization
dan200/ComputerCraft
toolbox4minecraft/amidst
smith-j-travis/MinecraftAutoClicker
ReplayMod/ReplayMod
pdinklag/MinecraftStats
MultiMC/Launcher
Wurst-Imperium/Wurst7
jdah/minecraft-again
pmmp/PocketMine-MP
clear-code-projects/Minecraft-in-Python
danba340/minecraft-freecodecamp
LuckPerms/LuckPerms
Advanced-Rocketry/AdvancedRocketry
Minecraft-in-python/Minecraft
overshard/docker-minecraft
Fenixin/Minecraft-Region-Fixer
MightyPirates/OpenComputers
WildBamaBoy/minecraft-comes-alive
caseypugh/minecraft
InventivetalentDev/minecraft-assets
AlexModGuy/Ice_and_Fire
PaperMC/Velocity
DonBruce64/MinecraftTransportSimulator
MicrosoftDocs/minecraft-creator
trevor-laher/OnDemandMinecraft
Minestom/Minestom
cuberite/cuberite
simondevyoutube/Quick_MinecraftClone2
rom1504/MinecraftChat
PojavLauncherTeam/PojavLauncher
johnpayne-dev/MinecraftC
Cryptkeeper/Minetrack
b3agz/Code-A-Game-Like-Minecraft-In-Unity
traitor/Minecraft-Server-Mod
webbukkit/dynmap
Gualdimar/MinecraftSkinSystem
mapcrafter/mapcrafter
jonafanho/Minecraft-Transit-Railway
horionclient/Horion
Mhy278/MinecraftServerHostGuide
msmhq/msm
lofaldli/Minecraft
Tiiffi/mcrcon
CaffeineMC/sodium-fabric
microsoft/minecraft-samples
satansdeer/minecraft-react
micdoodle8/Galacticraft
garbagemule/MobArena
itzg/minecraft-server-charts
agowa338/MinecraftSystemdUnit
MCMrARM/modpe-mods
AtomicStryker/atomicstrykers-minecraft-mods
Tominous/minecraft.js-1
ljsimin/MinecraftJoypadSplitscreenMod
mircokroon/minecraft-world-downloader
Overv/WebCraft
PEXPlugins/PermissionsEx
DragonetMC/DragonProxy
PolyMC/PolyMC
feather-rs/feather
wodxgod/Minecraft-Session-Token-Stealer
TownyAdvanced/Towny
mezz/JustEnoughItems
The-Dingos/MinecraftAlternateRealities
libraryaddict/LibsDisguises
vyse12138/minecraft-threejs
CraftTweaker/CraftTweaker
Jin-Yuhan/MinecraftClone-Unity
swr06/Minecraft
spravil/PHP-Minecraft-Server-Status-Query
alwyn974/MinecraftBOT
PrismLauncher/PrismLauncher
AlexProgrammerDE/balena-minecraft-server
